"experiment","experiment_id","seed","dataset","metric","value","status","protocol_group","checkpoint","source_file","component","enabled"
"one_seed_33_fafem_warmup_cosine","Exp33","42","CVC-ColonDB","mDice","0.7856655160305454","VALID FOR FINAL ABLATION","P-WC200-LW","C:\Users\jafari.h\Desktop\ai_project\ConvNeXt_Unet\one_seed_results\ablation\33_fafem_warmup_cosine\seed_42\best_checkpoint.pth","one_seed_results\ablation\33_fafem_warmup_cosine\seed_42\evaluation_summary.json","",""
"one_seed_33_fafem_warmup_cosine","Exp33","42","CVC-ColonDB","mIoU","0.7039859534532539","VALID FOR FINAL ABLATION","P-WC200-LW","C:\Users\jafari.h\Desktop\ai_project\ConvNeXt_Unet\one_seed_results\ablation\33_fafem_warmup_cosine\seed_42\best_checkpoint.pth","one_seed_results\ablation\33_fafem_warmup_cosine\seed_42\evaluation_summary.json","",""
"one_seed_33_fafem_warmup_cosine","Exp33","42","CVC-ColonDB","S_alpha","0.8570030960675958","VALID FOR FINAL ABLATION","P-WC200-LW","C:\Users\jafari.h\Desktop\ai_project\ConvNeXt_Unet\one_seed_results\ablation\33_fafem_warmup_cosine\seed_42\best_checkpoint.pth","one_seed_results\ablation\33_fafem_warmup_cosine\seed_42\evaluation_summary.json","",""
"one_seed_33_fafem_warmup_cosine","Exp33","42","CVC-ColonDB","F_beta_w","0.7599288504562002","VALID FOR FINAL ABLATION","P-WC200-LW","C:\Users\jafari.h\Desktop\ai_project\ConvNeXt_Unet\one_seed_results\ablation\33_fafem_warmup_cosine\seed_42\best_checkpoint.pth","one_seed_results\ablation\33_fafem_warmup_cosine\seed_42\evaluation_summary.json","",""
"one_seed_33_fafem_warmup_cosine","Exp33","42","CVC-ColonDB","maxE_phi","0.8938695523070207","VALID FOR FINAL ABLATION","P-WC200-LW","C:\Users\jafari.h\Desktop\ai_project\ConvNeXt_Unet\one_seed_results\ablation\33_fafem_warmup_cosine\seed_42\best_checkpoint.pth","one_seed_results\ablation\33_fafem_warmup_cosine\seed_42\evaluation_summary.json","",""
"one_seed_33_fafem_warmup_cosine","Exp33","42","CVC-ColonDB","mE_phi","0.8877645408024767","VALID FOR FINAL ABLATION","P-WC200-LW","C:\Users\jafari.h\Desktop\ai_project\ConvNeXt_Unet\one_seed_results\ablation\33_fafem_warmup_cosine\seed_42\best_checkpoint.pth","one_seed_results\ablation\33_fafem_warmup_cosine\seed_42\evaluation_summary.json","",""
"one_seed_33_fafem_warmup_cosine","Exp33","42","CVC-ColonDB","MAE","0.03488253626234444","VALID FOR FINAL ABLATION","P-WC200-LW","C:\Users\jafari.h\Desktop\ai_project\ConvNeXt_Unet\one_seed_results\ablation\33_fafem_warmup_cosine\seed_42\best_checkpoint.pth","one_seed_results\ablation\33_fafem_warmup_cosine\seed_42\evaluation_summary.json","",""
"one_seed_33_fafem_warmup_cosine","Exp33","42","ETIS-LaribPolypDB","mDice","0.7748825238306335","VALID FOR FINAL ABLATION","P-WC200-LW","C:\Users\jafari.h\Desktop\ai_project\ConvNeXt_Unet\one_seed_results\ablation\33_fafem_warmup_cosine\seed_42\best_checkpoint.pth","one_seed_results\ablation\33_fafem_warmup_cosine\seed_42\evaluation_summary.json","",""
"one_seed_33_fafem_warmup_cosine","Exp33","42","ETIS-LaribPolypDB","mIoU","0.6987985587252679","VALID FOR FINAL ABLATION","P-WC200-LW","C:\Users\jafari.h\Desktop\ai_project\ConvNeXt_Unet\one_seed_results\ablation\33_fafem_warmup_cosine\seed_42\best_checkpoint.pth","one_seed_results\ablation\33_fafem_warmup_cosine\seed_42\evaluation_summary.json","",""
"one_seed_33_fafem_warmup_cosine","Exp33","42","ETIS-LaribPolypDB","S_alpha","0.8693377819268278","VALID FOR FINAL ABLATION","P-WC200-LW","C:\Users\jafari.h\Desktop\ai_project\ConvNeXt_Unet\one_seed_results\ablation\33_fafem_warmup_cosine\seed_42\best_checkpoint.pth","one_seed_results\ablation\33_fafem_warmup_cosine\seed_42\evaluation_summary.json","",""
